lat,long,number
36.59783981,127.2809187,0
36.59777353,127.2810888,0
36.5977072,127.2811686,0
36.59766453,127.281221,0
36.59759105,127.2813126,0
36.59757695,127.2813298,0
36.59750509,127.2814204,0
36.59747392,127.2814593,0
36.59745133,127.2814875,0
36.59742401,127.2815215,0
36.59739586,127.2815386,0
36.59738526,127.2815449,0
36.59727321,127.2816115,0
36.59725218,127.2816253,0
36.59737574,127.2818143,0
36.59737709,127.2818164,0
36.59740968,127.2818694,0
36.59742002,127.2818796,0
36.59739494,127.2818886,0
36.5973845,127.2818902,0
36.59742445,127.2819481,0
36.59741775,127.2819584,0
36.5973561,127.2820373,0
36.59734097,127.2820362,0
36.59739942,127.2820919,0
36.59738737,127.2821166,0
36.59732335,127.2822452,0
36.5973298,127.2822622,0
36.5973138,127.2823582,0
36.59731686,127.2823595,0
36.59731685,127.2823596,0
36.5973291,127.2823649,0
36.59734117,127.2823689,0
36.59735144,127.2823724,0
36.59728568,127.2824378,0
36.59727538,127.282448,0
36.59725748,127.2824674,0
36.59724556,127.2824805,0
36.59724707,127.282451,0
36.59725,127.2823939,0
36.5972994,127.2822377,0
36.597309,127.2822076,0
36.59731538,127.2821877,0
36.59731556,127.2821867,0
36.5972754,127.2821722,0
36.59723406,127.2822353,0
36.5971741,127.2823271,0
36.59716332,127.2822089,0
36.59713796,127.2822124,0
36.59670425,127.2822727,0
36.59648734,127.2823067,0
36.59647057,127.2823093,0
36.59632822,127.2823317,0
36.59615296,127.2823591,0
36.5958394,127.2824083,0
36.59557724,127.2824473,0
36.59548068,127.2824617,0
36.59536971,127.2824817,0
36.5953885,127.2827201,0
36.59539114,127.2827531,0
36.59541668,127.2830393,0
36.59536855,127.2830588,0
36.59536852,127.2830588,0
36.59529383,127.2830892,0
36.59521687,127.2831206,0
36.59516532,127.2831602,0
36.59516528,127.2831603,0
36.59499225,127.2832912,0
36.59464142,127.2835554,0
36.59459917,127.2835825,0
36.59450871,127.2836505,0
36.59438996,127.2837515,0
36.59416718,127.2839392,0
36.59413394,127.2839757,0
36.59408559,127.2840272,0
36.59404344,127.2841119,0
36.59403812,127.284171,0
36.59386502,127.2844276,0
36.59384365,127.2844253,0
36.59383842,127.2844345,0
